time,stress_level
0,1.0707963267948966
1,1.0793804002589984
2,1.0979644737231002
3,1.116548547187203
4,1.135132620651305
5,1.1699331326092957
6,1.18602099672751
7,1.204605070191612
8,1.2211865538184317
9,1.239770627282534
10,1.258354700746636
11,1.2775669245200412
12,1.298022727350104
13,1.3166068008142067
14,1.3366020491717083
15,1.3551861226358104
16,1.3690910799861848
17,1.3900585269812318
18,1.4086426004453334
19,1.4339041991814658
20,1.4524882726455683
21,1.4710723461096704
22,1.4859503745295393
23,1.5045344479936418
24,1.5231185214577438
25,1.5380470820627226
26,1.563170991435333
27,1.5817550648994347
28,1.6003391383635375
29,1.6221093783054714
30,1.6372576075233505
31,1.659150362141512
32,1.6742360497881026
33,1.7074827746530319
34,1.7260668481171337
35,1.7446509215812362
36,1.7632349950453379
37,1.78181906850944
38,1.8005872508747596
39,1.8152666279910923
40,1.834836643940792
41,1.8622208790647794
42,1.881361930921536
43,1.9023095724473735
44,1.9208936459114758
45,1.937253513856808
46,1.9532353107685336
47,1.9730326687885191
48,2.0006706372710155
49,2.024194644477889
50,2.04298727622714
51,2.124403202763038
52,2.205819129298936
53,2.3020286484572403
54,2.382363281558883
55,2.715263675381016
56,2.7966796019169142
57,2.8850803752209506
58,2.9730399214064147
59,3.0578992062398305
60,3.1393151327757285
61,3.2250087576303605
62,3.302039023979501
63,3.392040271056855
64,3.468713317993102
65,3.5719133014259024
66,3.750367372447054
67,3.831783298982952
68,3.918273911780242
69,3.99968983831614
70,4.081105764852038
71,4.16388267655591
72,4.243276589636626
73,4.3444704449898195
74,4.425886371525718
75,4.5039212541334
76,4.587720514086431
77,4.863883590264045
78,4.946030894439093
79,5.034994425477537
80,5.136255419011283
81,5.217671345547181
82,5.294406104155857
83,5.388350631006938
84,5.475636992326132
85,5.798559652028648
86,5.876856049149552
87,5.958756271511214
88,6.043267129712568
89,6.140900561958357
90,6.472508872548916
91,6.569716963435106
92,6.658485510244093
93,6.748188554244187
94,7.0533068990727905
95,7.1314812956476565
96,7.23484756356693
97,7.316263490102829
98,7.397679416638727
99,7.711159402784151
100,7.756430892008588
101,7.684097342487817
102,7.852373338210948
103,7.77095741167505
104,7.698963448989082
105,7.617547522453185
106,7.824375808683631
107,7.7429598821477335
108,7.661543955611835
109,7.5801280290759365
110,7.702458390706116
111,7.62104246417022
112,7.539626537634321
113,7.7452851856637555
114,7.663869259127857
115,7.580574449833199
116,7.500107491832027
117,7.418404251402062
118,7.339973011921489
119,7.252586828234656
120,7.172393674467754
121,7.087906840606527
122,7.0042286127394835
123,6.926182920708275
124,6.8403570354554315
125,6.756156465898511
126,6.677951896232801
127,6.58886132178287
128,6.501105252537096
129,6.429155303306269
130,6.343422697174828
131,6.265393780003554
132,6.181126547607547
133,6.12734912099044
134,6.044951183759343
135,5.9659313948489725
136,5.883439788735163
137,5.807253346816877
138,5.715216380242399
139,5.629409618875789
140,5.545837766649139
141,5.454378683175405
142,5.37477711516819
143,5.300659018009679
144,5.204398419677677
145,5.130721043757367
146,5.054648038713394
147,4.9750128246614524
148,4.893541797474436
149,4.815012294022896
150,4.749645204891475
151,4.731002648568269
152,4.703277577407753
153,4.677643414185223
154,4.65537259524267
155,4.632462409815796
156,4.619184930965692
157,4.593346448962941
158,4.567537683710968
159,4.546415056179916
160,4.517269387115072
161,4.484848161555119
162,4.472518584040211
163,4.463373111533756
164,4.431625042390824
165,4.405443922415033
166,4.372342290546915
167,4.354040282618542
168,4.332889636518448
169,4.295580893808183
170,4.26661603003093
171,4.263076097058938
172,4.247409984653274
173,4.233623449749358
174,4.205771308729737
175,4.179050206918438
176,4.15442984201305
177,4.151871331968124
178,4.118446289004958
179,4.087697667617137
180,4.065572157655568
181,4.0343056384108
182,4.0071947421734
183,4.002169794413637
184,3.9762225967956626
185,3.9497206187526848
186,3.934724316184292
187,3.9176807129905074
188,3.8927857791161458
189,3.8935723373818503
190,3.868938661105001
191,3.844257868234492
192,3.820942553206267
193,3.8113992993895387
194,3.7908243466296354
195,3.7635541711272538
196,3.7402913263425432
197,3.7148823527200117
198,3.6926632433764404
199,3.6768965379343497
200,3.6930382695632584
201,3.7235586865687456
202,3.7599051224560975
203,3.776690811112493
204,3.817841167837631
205,3.8474493132416736
206,3.886582222713108
207,3.9024137012466493
208,3.917354506228055
209,3.9105370445564436
210,3.9142887622157856
211,3.9326739947496407
212,3.944877572354007
213,3.9692985257564284
214,3.9963166053404695
215,4.002643382643313
216,4.014293444721884
217,4.039498785924177
218,4.067606880225437
219,4.084243246090363
220,4.098369683571178
221,4.108359520763768
222,4.122220210017068
223,4.145007531475482
224,4.170917871858457
225,4.191854497089162
226,4.233033465097179
227,4.255600092867544
228,4.271416029991958
229,4.274793112446728
